algorithm,input_type,n,trial,time_ms,mem_kb
mergesort,random,50000,5,18.1889,0
quicksort,random,50000,5,17.2669,0
insertionsort,random,50000,5,SKIP,SKIP
selectionsort,random,50000,5,SKIP,SKIP
bubblesort,random,50000,5,SKIP,SKIP
mergesort,random,50000,6,17.0654,0
quicksort,random,50000,6,16.754,0
insertionsort,random,50000,6,SKIP,SKIP
selectionsort,random,50000,6,SKIP,SKIP
bubblesort,random,50000,6,SKIP,SKIP
mergesort,random,50000,7,17.1091,0
quicksort,random,50000,7,16.1545,0
insertionsort,random,50000,7,SKIP,SKIP
selectionsort,random,50000,7,SKIP,SKIP
bubblesort,random,50000,7,SKIP,SKIP
mergesort,random,50000,8,16.5977,0
quicksort,random,50000,8,16.1759,0
insertionsort,random,50000,8,SKIP,SKIP
selectionsort,random,50000,8,SKIP,SKIP
bubblesort,random,50000,8,SKIP,SKIP
mergesort,random,50000,9,17.1853,0
quicksort,random,50000,9,16.806,0
insertionsort,random,50000,9,SKIP,SKIP
selectionsort,random,50000,9,SKIP,SKIP
bubblesort,random,50000,9,SKIP,SKIP
mergesort,random,50000,10,16.6878,0
quicksort,random,50000,10,16.7066,0
insertionsort,random,50000,10,SKIP,SKIP
selectionsort,random,50000,10,SKIP,SKIP
bubblesort,random,50000,10,SKIP,SKIP
mergesort,sorted,50000,1,11.825,0
quicksort,sorted,50000,1,15.0154,0
insertionsort,sorted,50000,1,SKIP,SKIP
selectionsort,sorted,50000,1,SKIP,SKIP
bubblesort,sorted,50000,1,SKIP,SKIP
mergesort,sorted,50000,2,11.3341,0
quicksort,sorted,50000,2,15.7842,0
insertionsort,sorted,50000,2,SKIP,SKIP
selectionsort,sorted,50000,2,SKIP,SKIP
bubblesort,sorted,50000,2,SKIP,SKIP
mergesort,sorted,50000,3,12.9839,0
quicksort,sorted,50000,3,14.6545,0
insertionsort,sorted,50000,3,SKIP,SKIP
selectionsort,sorted,50000,3,SKIP,SKIP
bubblesort,sorted,50000,3,SKIP,SKIP
